FishTaxa	Latitude83	Longitude83	SITEYR
GREEN SUNFISH	39.09426501	-76.74376678	AA-N-092-225-97
PUMPKINSEED	39.09426501	-76.74376678	AA-N-092-225-97
LEAST BROOK LAMPREY	39.09426501	-76.74376678	AA-N-092-225-97
BLACKNOSE DACE	39.09426501	-76.74376678	AA-N-092-225-97
BLUESPOTTED SUNFISH	39.09426501	-76.74376678	AA-N-092-225-97
BLUEGILL	39.09426501	-76.74376678	AA-N-092-225-97
AMERICAN EEL	39.09426501	-76.74376678	AA-N-092-225-97
EASTERN MUDMINNOW	39.13013476	-76.63324527	AA-N-104-114-95
COMMON CARP	39.13013476	-76.63324527	AA-N-104-114-95
TESSELLATED DARTER	39.13013476	-76.63324527	AA-N-104-114-95
BLACKNOSE DACE	39.13013476	-76.63324527	AA-N-104-114-95
EASTERN MOSQUITOFISH	39.099444	-76.838333	AA-N-107-018-95
CHAIN PICKEREL	39.099444	-76.838333	AA-N-107-018-95
EASTERN MUDMINNOW	39.099444	-76.838333	AA-N-107-018-95
CREEK CHUBSUCKER	39.099444	-76.838333	AA-N-107-018-95
CUTLIP MINNOW	39.099444	-76.838333	AA-N-107-018-95
FALLFISH	39.099444	-76.838333	AA-N-107-018-95
CREEK CHUB	39.099444	-76.838333	AA-N-107-018-95
LONGNOSE DACE	39.099444	-76.838333	AA-N-107-018-95
REDBREAST SUNFISH	39.099444	-76.838333	AA-N-107-018-95
PUMPKINSEED	39.099444	-76.838333	AA-N-107-018-95
SWALLOWTAIL SHINER	39.099444	-76.838333	AA-N-107-018-95
YELLOW BULLHEAD	39.099444	-76.838333	AA-N-107-018-95
WHITE SUCKER	39.099444	-76.838333	AA-N-107-018-95
TESSELLATED DARTER	39.099444	-76.838333	AA-N-107-018-95
SPOTTAIL SHINER	39.099444	-76.838333	AA-N-107-018-95
SEA LAMPREY	39.099444	-76.838333	AA-N-107-018-95
BLUEGILL	39.099444	-76.838333	AA-N-107-018-95
AMERICAN EEL	39.099444	-76.838333	AA-N-107-018-95
BLACKNOSE DACE	39.099444	-76.838333	AA-N-107-018-95
EASTERN MUDMINNOW	39.09231116	-76.49778043	AA-N-120-102-97
EASTERN MOSQUITOFISH	39.007778	-76.735	AA-N-122-032-95
GLASSY DARTER	39.007778	-76.735	AA-N-122-032-95
CHAIN PICKEREL	39.007778	-76.735	AA-N-122-032-95
FALLFISH	39.007778	-76.735	AA-N-122-032-95
CUTLIP MINNOW	39.007778	-76.735	AA-N-122-032-95
EASTERN MUDMINNOW	39.007778	-76.735	AA-N-122-032-95
REDFIN PICKEREL	39.007778	-76.735	AA-N-122-032-95
LONGNOSE DACE	39.007778	-76.735	AA-N-122-032-95
REDBREAST SUNFISH	39.007778	-76.735	AA-N-122-032-95
PUMPKINSEED	39.007778	-76.735	AA-N-122-032-95
SEA LAMPREY	39.007778	-76.735	AA-N-122-032-95
YELLOW BULLHEAD	39.007778	-76.735	AA-N-122-032-95
SPOTTAIL SHINER	39.007778	-76.735	AA-N-122-032-95
ROSYSIDE DACE	39.007778	-76.735	AA-N-122-032-95
SWALLOWTAIL SHINER	39.007778	-76.735	AA-N-122-032-95
SATINFIN SHINER	39.007778	-76.735	AA-N-122-032-95
TESSELLATED DARTER	39.007778	-76.735	AA-N-122-032-95
WHITE SUCKER	39.007778	-76.735	AA-N-122-032-95
BLUEGILL	39.007778	-76.735	AA-N-122-032-95
BLUESPOTTED SUNFISH	39.007778	-76.735	AA-N-122-032-95
BLACKNOSE DACE	39.007778	-76.735	AA-N-122-032-95
AMERICAN BROOK LAMPREY	39.007778	-76.735	AA-N-122-032-95
AMERICAN EEL	39.007778	-76.735	AA-N-122-032-95
EASTERN MOSQUITOFISH	39.18125268	-76.62014129	AA-N-126-306-95
GOLDEN SHINER	39.18125268	-76.62014129	AA-N-126-306-95
CHAIN PICKEREL	39.18125268	-76.62014129	AA-N-126-306-95
EASTERN MUDMINNOW	39.18125268	-76.62014129	AA-N-126-306-95
REDFIN PICKEREL	39.18125268	-76.62014129	AA-N-126-306-95
PUMPKINSEED	39.18125268	-76.62014129	AA-N-126-306-95
REDBREAST SUNFISH	39.18125268	-76.62014129	AA-N-126-306-95
YELLOW PERCH	39.18125268	-76.62014129	AA-N-126-306-95
WHITE SUCKER	39.18125268	-76.62014129	AA-N-126-306-95
TESSELLATED DARTER	39.18125268	-76.62014129	AA-N-126-306-95
BLUEGILL	39.18125268	-76.62014129	AA-N-126-306-95
BLUESPOTTED SUNFISH	39.18125268	-76.62014129	AA-N-126-306-95
AMERICAN EEL	39.18125268	-76.62014129	AA-N-126-306-95
EASTERN MUDMINNOW	39.10870636	-76.67081005	AA-N-135-301-97
GREEN SUNFISH	39.10870636	-76.67081005	AA-N-135-301-97
CHAIN PICKEREL	39.10870636	-76.67081005	AA-N-135-301-97
LARGEMOUTH BASS	39.10870636	-76.67081005	AA-N-135-301-97
PUMPKINSEED	39.10870636	-76.67081005	AA-N-135-301-97
SWALLOWTAIL SHINER	39.10870636	-76.67081005	AA-N-135-301-97
WHITE SUCKER	39.10870636	-76.67081005	AA-N-135-301-97
YELLOW PERCH	39.10870636	-76.67081005	AA-N-135-301-97
TESSELLATED DARTER	39.10870636	-76.67081005	AA-N-135-301-97
